csvbase_row_id,licenseId,name,isOsiApproved,isFsfLibre,isDeprecatedLicenseId,detailsUrl,referenceNumber,reference,seeAlso
321,HPND-Intel,Historical Permission Notice and Disclaimer - Intel variant,False,,False,https://spdx.org/licenses/HPND-Intel.json,16,https://spdx.org/licenses/HPND-Intel.html,['https://sourceware.org/git/?p=newlib-cygwin.git;a=blob;f=newlib/libc/machine/i960/memcpy.S;hb=HEAD']
322,HPND-Kevlin-Henney,Historical Permission Notice and Disclaimer - Kevlin Henney variant,False,,False,https://spdx.org/licenses/HPND-Kevlin-Henney.json,636,https://spdx.org/licenses/HPND-Kevlin-Henney.html,['https://github.com/mruby/mruby/blob/83d12f8d52522cdb7c8cc46fad34821359f453e6/mrbgems/mruby-dir/src/Win/dirent.c#L127-L140']
323,HPND-Markus-Kuhn,Historical Permission Notice and Disclaimer - Markus Kuhn variant,False,,False,https://spdx.org/licenses/HPND-Markus-Kuhn.json,172,https://spdx.org/licenses/HPND-Markus-Kuhn.html,"['https://www.cl.cam.ac.uk/~mgk25/ucs/wcwidth.c', 'https://sourceware.org/git/?p=binutils-gdb.git;a=blob;f=readline/readline/support/wcwidth.c;h=0f5ec995796f4813abbcf4972aec0378ab74722a;hb=HEAD#l55']"
324,HPND-merchantability-variant,Historical Permission Notice and Disclaimer - merchantability variant,False,,False,https://spdx.org/licenses/HPND-merchantability-variant.json,580,https://spdx.org/licenses/HPND-merchantability-variant.html,['https://sourceware.org/git/?p=newlib-cygwin.git;a=blob;f=newlib/libc/misc/fini.c;hb=HEAD']
325,HPND-MIT-disclaimer,Historical Permission Notice and Disclaimer with MIT disclaimer,False,,False,https://spdx.org/licenses/HPND-MIT-disclaimer.json,608,https://spdx.org/licenses/HPND-MIT-disclaimer.html,['https://metacpan.org/release/NLNETLABS/Net-DNS-SEC-1.22/source/LICENSE']
326,HPND-Netrek,Historical Permission Notice and Disclaimer - Netrek variant,False,,False,https://spdx.org/licenses/HPND-Netrek.json,126,https://spdx.org/licenses/HPND-Netrek.html,[]
327,HPND-Pbmplus,Historical Permission Notice and Disclaimer - Pbmplus variant,False,,False,https://spdx.org/licenses/HPND-Pbmplus.json,217,https://spdx.org/licenses/HPND-Pbmplus.html,['https://sourceforge.net/p/netpbm/code/HEAD/tree/super_stable/netpbm.c#l8']
328,HPND-sell-MIT-disclaimer-xserver,Historical Permission Notice and Disclaimer - sell xserver variant with MIT disclaimer,False,,False,https://spdx.org/licenses/HPND-sell-MIT-disclaimer-xserver.json,150,https://spdx.org/licenses/HPND-sell-MIT-disclaimer-xserver.html,['https://gitlab.freedesktop.org/xorg/xserver/-/blob/master/COPYING?ref_type=heads#L1781']
329,HPND-sell-regexpr,Historical Permission Notice and Disclaimer - sell regexpr variant,False,,False,https://spdx.org/licenses/HPND-sell-regexpr.json,46,https://spdx.org/licenses/HPND-sell-regexpr.html,['https://gitlab.com/bacula-org/bacula/-/blob/Branch-11.0/bacula/LICENSE-FOSS?ref_type=heads#L245']
330,HPND-sell-variant,Historical Permission Notice and Disclaimer - sell variant,False,,False,https://spdx.org/licenses/HPND-sell-variant.json,488,https://spdx.org/licenses/HPND-sell-variant.html,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/net/sunrpc/auth_gss/gss_generic_token.c?h=v4.19']
331,HPND-sell-variant-MIT-disclaimer,HPND sell variant with MIT disclaimer,False,,False,https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer.json,429,https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer.html,['https://github.com/sigmavirus24/x11-ssh-askpass/blob/master/README']
332,HPND-sell-variant-MIT-disclaimer-rev,HPND sell variant with MIT disclaimer - reverse,False,,False,https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer-rev.json,10,https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer-rev.html,['https://github.com/sigmavirus24/x11-ssh-askpass/blob/master/dynlist.c']
333,HPND-UC,Historical Permission Notice and Disclaimer - University of California variant,False,,False,https://spdx.org/licenses/HPND-UC.json,422,https://spdx.org/licenses/HPND-UC.html,['https://core.tcl-lang.org/tk/file?name=compat/unistd.h']
334,HPND-UC-export-US,"Historical Permission Notice and Disclaimer - University of California, US export warning",False,,False,https://spdx.org/licenses/HPND-UC-export-US.json,80,https://spdx.org/licenses/HPND-UC-export-US.html,['https://github.com/RTimothyEdwards/magic/blob/master/LICENSE']
335,HTMLTIDY,HTML Tidy License,False,,False,https://spdx.org/licenses/HTMLTIDY.json,439,https://spdx.org/licenses/HTMLTIDY.html,['https://github.com/htacg/tidy-html5/blob/next/README/LICENSE.md']
336,IBM-pibs,IBM PowerPC Initialization and Boot Software,False,,False,https://spdx.org/licenses/IBM-pibs.json,600,https://spdx.org/licenses/IBM-pibs.html,['http://git.denx.de/?p=u-boot.git;a=blob;f=arch/powerpc/cpu/ppc4xx/miiphy.c;h=297155fdafa064b955e53e9832de93bfb0cfb85b;hb=9fab4bf4cc077c21e43941866f3f2c196f28670d']
337,ICU,ICU License,True,,False,https://spdx.org/licenses/ICU.json,377,https://spdx.org/licenses/ICU.html,['http://source.icu-project.org/repos/icu/icu/trunk/license.html']
338,IEC-Code-Components-EULA,IEC    Code Components End-user licence agreement,False,,False,https://spdx.org/licenses/IEC-Code-Components-EULA.json,24,https://spdx.org/licenses/IEC-Code-Components-EULA.html,"['https://www.iec.ch/webstore/custserv/pdf/CC-EULA.pdf', 'https://www.iec.ch/CCv1', 'https://www.iec.ch/copyright']"
339,IJG,Independent JPEG Group License,False,True,False,https://spdx.org/licenses/IJG.json,376,https://spdx.org/licenses/IJG.html,['http://dev.w3.org/cvsweb/Amaya/libjpeg/Attic/README?rev=1.2']
340,IJG-short,Independent JPEG Group License - short,False,,False,https://spdx.org/licenses/IJG-short.json,153,https://spdx.org/licenses/IJG-short.html,['https://sourceforge.net/p/xmedcon/code/ci/master/tree/libs/ljpg/']
341,ImageMagick,ImageMagick License,False,,False,https://spdx.org/licenses/ImageMagick.json,607,https://spdx.org/licenses/ImageMagick.html,['http://www.imagemagick.org/script/license.php']
342,iMatix,iMatix Standard Function Library Agreement,False,True,False,https://spdx.org/licenses/iMatix.json,644,https://spdx.org/licenses/iMatix.html,['http://legacy.imatix.com/html/sfl/sfl4.htm#license']
343,Imlib2,Imlib2 License,False,True,False,https://spdx.org/licenses/Imlib2.json,99,https://spdx.org/licenses/Imlib2.html,"['http://trac.enlightenment.org/e/browser/trunk/imlib2/COPYING', 'https://git.enlightenment.org/legacy/imlib2.git/tree/COPYING']"
344,Info-ZIP,Info-ZIP License,False,,False,https://spdx.org/licenses/Info-ZIP.json,449,https://spdx.org/licenses/Info-ZIP.html,['http://www.info-zip.org/license.html']
345,Inner-Net-2.0,Inner Net License v2.0,False,,False,https://spdx.org/licenses/Inner-Net-2.0.json,58,https://spdx.org/licenses/Inner-Net-2.0.html,"['https://fedoraproject.org/wiki/Licensing/Inner_Net_License', 'https://sourceware.org/git/?p=glibc.git;a=blob;f=LICENSES;h=530893b1dc9ea00755603c68fb36bd4fc38a7be8;hb=HEAD#l207']"
346,Intel,Intel Open Source License,True,True,False,https://spdx.org/licenses/Intel.json,316,https://spdx.org/licenses/Intel.html,['https://opensource.org/licenses/Intel']
347,Intel-ACPI,Intel ACPI Software License Agreement,False,,False,https://spdx.org/licenses/Intel-ACPI.json,308,https://spdx.org/licenses/Intel-ACPI.html,['https://fedoraproject.org/wiki/Licensing/Intel_ACPI_Software_License_Agreement']
